Algoritmo: Matula
Nro cromatico: 205 en iteracion 4073
CantidadColores  CantidadRepeticiones 
205              1
206              3
207              10
208              21
209              82
210              165
211              339
212              615
213              910
214              1323
215              1525
216              1425
217              1314
218              1003
219              625
220              335
221              187
222              85
223              23
224              9
