Algoritmo: Secuencial aleatorio
Nro cromatico: 49
CantidadColores  CanttidadRepeticiones
49                 1
50                 6
51                 52
52                 276
53                 768
54                 1088
55                 880
56                 562
57                 329
58                 287
59                 544
60                 1000
61                 1259
62                 1321
63                 915
64                 481
65                 176
66                 42
67                 11
68                 2
