Algoritmo: Secuencial aleatorio
Nro cromatico: 198 en iteracion 523
CantidadColores  CantidadRepeticiones 
198              5
199              20
200              50
201              127
202              269
203              533
204              920
205              1232
206              1481
207              1508
208              1379
209              1084
210              675
211              412
212              188
213              74
214              30
215              10
216              3
